Subject,Having_IP,Having_At_Symbol,Prefix_Suffix,URL_Length_Long,HTTPS_Token_in_URL,Suspicious_TLD,Shortening_Service,Contains_Password_Field,Domain_Old(>12mo),Alexa_Popular,label
We congratulate! You our client!,0,0,0,0,0,0,0,0,1,1,0
bayonne ri heckle milieu physik,0,0,0,0,0,0,0,0,1,1,0
Affordable and easy male and female enhancing.,0,0,0,0,0,0,0,0,0,1,0
Keep the young girls away from that bulch,0,0,0,1,0,0,0,1,1,1,1
"100% Safe To Take, With NO Side Effects.",1,1,0,0,0,0,0,0,1,1,1
Direct message from SpamExperts via web,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,0,0,0,0,1,1,0,1,1,1
you don't believe in better se>.<u@1 life?,0,0,0,0,0,0,0,0,1,1,0
"Re: [Python-Dev] r62129 - in python/trunk: PCbuild/debug.vsprops	PCbuild/kill_python.c PCbuild/kill_python.vcproj	PCbuild/pcbuild.sln PCbuild/pythoncore.vcproj	PCbuild/release.vsprops Tools/buildbot/Makefile	Tools/buildbot/build-amd64.bat Tools/build",0,1,0,0,1,1,0,0,1,1,1
Here is your E-greeting,0,0,0,0,0,0,0,0,1,1,0
Tried vacuum pumps and other advertised methods without success ?,0,1,0,1,0,0,0,0,1,1,1
Removable Hard Drives,1,1,0,0,0,0,0,0,1,1,1
Bell adopts new campaign,0,0,0,0,0,0,0,0,1,1,0
Several measures for male power?,1,1,0,1,0,1,0,0,1,1,1
Premo Substance Joy,0,0,0,0,0,0,0,0,1,0,0
RingtoneFeeder.com - Payment receipt and setup information - Urgent,0,1,0,1,0,0,0,0,1,1,1
"Science Table of Contents Text for 22 February 2008; Vol. 319, No. 5866",0,1,1,0,0,1,0,0,1,1,1
Which Ones Really Work? We List The Top Penis Enlargement Products!,0,0,0,1,0,0,0,0,1,1,0
Olympus mountain,0,0,0,0,0,0,0,1,1,1,0
___ Future4net ___  TripTracker gallery,1,0,1,0,1,0,1,1,1,1,1
Need Diploma? MBA  or other?    pw3kb,0,0,0,1,0,0,0,1,1,1,1
CNN.com Daily Top 10,0,1,1,0,1,0,1,0,1,1,1
Re: [Python-Dev] string representation of range in 3.0,0,0,0,0,0,0,0,0,1,1,1
Stop disappointing your lady in bed,0,0,0,0,1,0,0,0,1,1,0
"Re: [Python-Dev] Proposal: from __future__ import	unicode_string_literals",0,0,1,1,0,0,0,1,1,1,1
Watches,0,0,0,0,0,1,0,0,1,1,1
CNN.com Daily Top 10 - Urgent,0,1,0,0,0,0,0,0,1,1,1
"Re: [spambayes-dev] SpamBayes core_server.py and related bits	merged to CVS HEAD",0,0,0,0,0,1,0,0,1,1,1
Proven Effective for 72 Hours.,0,0,0,1,0,1,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Come closer to healthy and more passionate intimate life.,1,0,0,1,0,0,0,1,1,1,1
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,0
Re: Relaying Denied,1,0,1,1,0,1,1,1,1,1,1
she can never find someone like you.,0,0,0,0,0,0,1,0,1,1,1
50mg x 60 pills $2.00 per pill price,0,0,0,0,0,0,0,0,1,1,0
Re: [FoRK] Only in the republic of Boulder,0,0,0,0,0,1,1,0,1,1,1
Re: [opensuse]  [OT] How much power does a PC really consume?,0,0,0,0,0,0,0,0,1,1,0
Re: [python-win32] Finding the selected file in Windows Explorer,0,0,0,0,0,0,0,0,1,1,0
Purchase  you meds in easy and confidential way in CanadianPharmacy.,1,1,1,0,0,0,1,1,1,1,1
[UAI] First Call for Paper WIRN 2005,1,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,1,0,1,1,0,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Generic brand remedys shipped quickly and discreetly to your front door - Action needed,1,0,1,0,0,0,0,1,1,1,1
58 new messages in 20 topics - abridged,0,0,0,0,0,0,0,0,1,1,0
Vi dient zur Behandlung bei E-problemen ..,0,1,0,0,0,0,0,0,1,1,1
CNN Alerts: My Custom Alert,0,0,1,0,0,0,0,0,1,1,1
 D.C.,0,0,0,0,0,0,0,1,0,1,1
"Re: [opensuse] ATI Radeon FireGL V5200, IBM/Lenovo Z61p, X won't start (SOLVED, partially)",0,0,1,0,1,0,0,0,1,1,1
With Vacheron Constantin replica watch time becomes ...   ,0,0,0,0,0,0,0,0,1,1,0
"Windows Vista, round two",0,0,0,0,0,0,1,0,1,1,1
Dequeing,0,0,0,0,0,0,0,0,1,1,0
Swell copies of elite watches,0,0,0,0,1,0,1,0,1,1,1
Enlarge,0,0,1,0,0,1,0,0,1,1,1
CNN Alerts: My Custom Alert - Urgent,0,0,0,0,1,0,0,0,1,1,1
[Spamassassin Wiki] Update of "ClamAVPlugin" by JustinMason,0,0,0,0,0,0,0,0,1,1,0
[clamav-virusdb] Update (daily: 5774),0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,0,0,0,0,0,1,0,0,1,1,1
Jessica simpson - Please verify,1,0,0,0,0,0,0,0,1,1,1
HABEAS_ACCREDITED_COI,0,0,0,0,0,0,0,0,1,1,0
Male Enhancement,0,0,0,0,0,0,0,0,1,1,0
CNN.com Daily Top 10,1,1,0,0,0,0,1,0,0,1,1
Europe makes moves towards Internet censorship,1,0,0,0,0,0,1,0,0,1,1
Purchase meds  with us and enjoy the life to the full.,0,0,1,0,1,1,0,0,1,1,1
These nurses are flaming hot,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] How we can get rid of eggs for 2.6 and beyond,0,0,0,0,0,0,0,0,1,1,0
Choice IWC replica watches at Replica Classics   ,0,1,0,1,0,0,0,1,1,1,1
Re: [ILUG] openvpn problem,0,0,0,0,0,0,0,0,1,1,0
Re:,0,1,0,0,1,0,1,0,0,1,1
Buy must have meds without any prescription at EU Drug store.,0,1,0,0,0,1,0,0,1,1,1
From Queen Huffman,0,0,0,0,0,0,0,0,1,1,0
Slap that ass of hers,0,0,1,0,0,1,0,1,1,1,1
Re: [Python-Dev] Known doctest bug with unicode?,0,0,0,0,0,0,0,0,1,1,0
Academic Superstore: February Specials & New Products,0,0,0,0,0,0,0,0,1,1,0
we cure people,0,0,0,0,0,0,0,0,1,1,0
Re: Code freeze,1,1,0,0,0,0,0,0,1,1,1
Exquisite Replica - Action needed,1,0,0,0,0,1,0,0,1,1,1
The confidence comes in the course of time and the sizes ipy dru hcao,0,0,0,0,0,1,1,0,1,1,1
We congratulate! You our client!,0,0,0,0,0,0,0,0,1,1,0
Re: [opensuse] true news group?,1,0,1,0,0,1,0,0,1,1,1
Which Ones Really Work? We List The Top Penis Enlargement Products! - Action needed,1,0,0,0,0,0,1,0,1,1,1
First-class replica watches at Replica Classics ,0,0,0,0,0,0,0,0,1,1,0
Feel own real men,0,0,0,0,0,0,0,0,1,1,0
New White Paper: Measure your Online Marketing Initiatives with Software as a Service - Urgent,1,0,1,1,1,1,1,0,1,0,1
"[FoRK] An unordered list of thoughts I had during a conference call	with a potential client today ",0,0,0,1,0,0,0,0,1,1,0
All Your Breast Enlargement Info From Top Breast Enlargement Sites.,0,0,0,1,0,0,0,0,1,1,0
Real Enlargement,0,0,0,0,0,0,0,0,1,1,1
"[FoRK] One Laptop Per Child, Give One Get One",0,0,1,0,0,0,0,0,1,1,1
"[Perl Jobs] Senior OO Perl/MySQL Developer, Telecommute (telecommute), United States, CA, Westlake Village",0,0,0,0,0,0,0,0,1,1,0
Guaranteed,0,0,0,1,0,0,0,0,0,1,1
"Chineses suffer from quantity, we enjoy quality zdn aoey nbci",0,0,0,0,0,0,0,0,0,1,0
Re: [Python-3000] python-safethread project status,0,0,0,0,0,0,0,0,1,1,0
View Our Wholesale Rolex Replica Watches Today,0,0,0,0,0,0,0,0,1,1,0
Gorgeous beauty of fashion timepieces,1,0,0,0,0,1,0,1,1,1,1
Our best decision is suitable for every age c lqoz svrg,0,0,0,0,0,0,0,0,1,1,1
Re: is a local IMAP server "remote"?,1,0,0,0,0,0,0,0,1,1,1
Re: [Python-Dev] Invitation to try out open source code review tool,0,1,1,0,1,1,0,1,1,1,1
You've received an E-Greeting,0,0,0,0,0,0,0,0,1,1,0
Re: Simple mailing list,0,1,1,0,0,1,0,0,1,1,1
Regional Managers Needed ,1,1,1,1,1,0,1,0,1,1,1
"\\/\\/atches! rolex, patek philippe, vacheron constantin and others!  a c ef",0,0,0,1,0,0,0,0,1,1,1
pool brig jure shivery inconsistent,0,0,1,1,0,1,0,1,1,1,1
Re: [Python-3000] raw strings and \\u,0,0,0,0,0,0,1,0,1,1,1
Re: [Python-3000] u'text' as an alias for 'text'?,0,1,1,0,1,0,0,0,1,1,1
Get a magic wand to satisfy your lady,0,0,0,0,0,1,0,0,1,1,0
Order Rolex Replica //atches 0nline!   ,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] Encoding detection in the standard library?,0,0,0,0,0,0,0,0,1,1,0
Rolex replica watch,0,0,0,0,0,0,0,0,1,1,0
Girls this hot are sweet,0,1,0,1,1,1,1,1,1,1,1
 racy car,0,1,0,1,1,0,0,0,1,1,1
High Quality Rolex Replica Watches,0,0,0,0,0,0,0,0,1,1,0
Don't be a fuddy-duddy...use the software everyone's using... ,0,0,0,0,0,0,0,1,1,1,1
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,0,0
Which Ones Really Work? We List The Top Penis Enlargement Products!,0,0,0,1,0,0,0,0,1,1,1
123,0,1,0,0,1,1,0,1,1,1,1
BestQualityTakeALookCialis,1,0,0,0,0,0,0,1,1,1,1
Re: ,0,1,0,0,0,0,1,0,1,1,1
CNN.com Daily Top 10,1,1,0,1,1,0,0,0,1,1,1
Click here to purchase high-quality replica watch  - Please verify,0,1,0,0,0,0,0,0,1,1,1
info,0,0,0,0,1,1,1,0,1,1,1
You have an E-Card from...? - Urgent,0,0,0,0,0,1,1,0,1,1,1
New IT Briefing: Virtualization: Rethinking the Windows desktop,1,0,0,0,0,0,0,0,1,1,0
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,0
Adventures in tape backup,0,0,0,0,0,0,0,0,1,1,0
Enjoy  easy and convenient online ordering process of purchasing with CanadianPharmacy.,0,1,0,0,1,0,0,0,1,1,1
Increase Your Penis Width (Girth) By upto 20%.,0,0,0,0,0,0,0,0,1,1,0
From Georgette Piper,1,0,0,0,0,0,0,0,1,1,1
Generate the best love results here,0,0,0,0,0,0,0,0,1,1,0
[UAI] CfP Evolutionary Intelligence - Special Issue on AIS,0,0,0,1,0,0,0,0,1,1,1
[Python-Dev] Tools\\buildbot\\kill_python.c can't be helping our cause,1,0,1,1,0,1,0,0,1,1,1
Re:,0,0,0,0,1,0,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
megalomaniac runyon circumlocution revive gwyn,0,0,0,0,0,0,0,0,1,1,0
Your bevy of beauties will astound n foiptl icqsv,0,0,1,0,0,0,0,1,1,1,1
[Python-Dev] Another GSoC Student Introduction,0,1,0,0,0,1,0,1,1,1,1
Replica Rolex Swiss Watches   ,0,0,0,0,0,0,0,0,1,0,0
[PownceAPI] Question about Posting recipient(s),1,0,0,1,0,0,0,0,1,1,1
Re: kurila 1.3 released,0,0,1,1,0,0,0,0,1,1,1
Visit us  and calculate the money you save .,0,0,0,0,0,0,0,0,1,1,0
Startling Brietling watches at Replica Classics   ,1,1,0,0,0,0,0,0,1,1,1
Slap that ass of hers,1,0,0,1,0,1,0,0,1,1,1
Re: [Python-Dev] NeedsReview keyword,1,0,0,0,0,0,0,0,1,1,0
The top rated penis enlarger Proven Results. 100% Guaranteed.,1,1,0,0,0,0,0,0,1,1,1
Re: [PATCH] Bug fix for storing shared objects in shared structures,0,0,0,1,1,1,0,1,1,1,1
[PATCH] Attribute::Handlers till ears are bleeding,1,1,0,0,0,0,1,0,1,1,1
Dream to be a hero in her bed?,0,0,0,0,0,0,0,0,1,1,0
"Hey, hot man, hot woman is waiting for you.",0,0,0,0,0,0,0,0,1,0,0
Re: [Python-3000] Spooky behavior of dict.items() and friends,0,0,0,0,0,0,0,0,1,1,0
[UAI] Wanted: CS and EE majors for graduate studies in Statistics,0,0,0,1,0,0,0,0,1,1,0
Re: [opensuse] Problem with make,1,0,1,0,0,0,1,1,1,1,1
From Gloria Mcgraw,0,1,0,0,0,0,1,1,1,0,1
Millions of bottles sold vurder ak quusjy - Action needed,0,0,1,0,0,1,0,0,1,1,1
"[UAI] Monash Bayesian Reasoning Workshop April, 2006",0,0,0,1,0,1,0,0,1,1,1
Re: [Python-3000] Using *a for packing in lists and other places,1,0,1,1,1,0,0,0,1,1,1
[PownceAPI] Re: Unexpected media.src url in API,0,0,0,0,0,0,0,0,1,1,0
"Re: [Python-Dev] [Distutils] how to easily consume just the parts	of eggs that are good for you",0,0,1,0,0,0,0,0,1,1,0
Premo Medicinal Reductions,0,0,0,1,0,1,1,0,1,1,1
"Your free registration account expires soon - save 25% on purchase	today! - Urgent",0,0,0,0,0,0,0,0,1,1,1
Re: flooded with jr* spam,0,0,0,0,0,0,0,0,1,1,0
[ILUG] openvpn problem - Please verify,0,0,1,0,0,0,0,0,1,1,1
Re: [opensuse] Unstable system - who is the culprit?,0,0,0,0,0,0,0,0,1,1,0
Replica watches from Officine Panerai closest to original   ,0,0,0,0,0,0,0,0,1,1,1
Enjoy The Sex Life You Deserve,1,1,0,1,1,0,0,0,1,1,1
Re: [opensuse] Beagle waste,0,1,0,0,0,0,0,0,1,1,1
"[Spambayes-checkins] spambayes/spambayes CoreUI.py, 1.1.2.6, 1.1.2.7",0,0,0,0,1,0,1,0,1,1,0
Sluttily attractive girls,0,0,1,0,0,0,0,0,0,1,1
Strenghth and power for you.,0,0,0,0,0,1,0,1,1,1,1
CNN.com Daily Top 10,0,1,0,1,0,1,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Please re-submit your payment information.,0,0,0,0,0,0,0,0,1,1,0
Special treatment for your beloved,1,0,0,1,0,0,1,1,0,1,1
Karma sutra techniques for G-spots,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] mmap.flush [was: NeedsReview keyword],0,0,0,0,0,0,0,0,1,1,0
[Bug 4821] issue debug message if rule name duplication is detected,0,0,0,0,0,0,0,0,1,1,0
[UAI] IJCV special issue on Probabilistic Models for Image Understanding,1,0,0,0,0,0,0,1,1,1,1
More length and width,0,0,0,0,0,0,0,0,1,1,0
Re: [Py2exe-users] pyd files,0,0,0,0,0,0,0,0,1,1,0
[opensuse] [Heretic question] Syncing Windows Mobile devices,1,0,0,1,1,0,1,0,1,1,1
[Bug 5731] DB_File locking hangs on Ubuntu feisty / gutsy Linux systems in spamd,0,0,0,1,0,0,0,0,1,1,0
Re: [R] using acf() for multiple columns,0,0,0,1,0,0,0,1,1,1,1
"Re: [opensuse] Novell client install, now K-Menu does not work",0,1,0,0,0,1,0,0,1,1,1
CNN.com Daily Top 10,1,0,0,0,0,0,0,0,1,1,1
Re: [Python-3000] Dict literal bytecode,1,0,0,1,0,0,1,1,1,1,1
Get the Finest Rolex Watch Replica !    - Urgent,0,0,0,0,0,0,1,0,1,1,1
Re: Reading and writing of removed shared memory segments (was: Re: [PATCH] add shmat() and shmdt() to IPC::SysV),0,0,0,0,0,0,0,0,1,1,0
Sandisk 2GB $11 . 19in LCD HDTV $225 . WD 250GB USB HD $109,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] [Python-checkins] r61403 - python/trunk/Misc/NEWS,0,0,0,0,0,0,0,0,1,1,0
she can never find someone like you.,1,0,0,1,1,0,0,0,0,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
[perl #47233] Core dump caused by goto ,0,0,0,0,0,0,0,0,1,1,1
Re: [OT] Bogus MX opinions - YES - it works!,0,0,0,1,0,0,0,0,1,1,0
Re: [opensuse] Setting up a mail server,0,0,0,0,0,0,0,0,1,1,0
[Slashdot] Stories for 2008-03-17,0,0,0,0,0,0,0,0,1,1,0
"[Buildbot-devel] [PATCH v2 11/12] Allow authentication to work with	.htpasswd-style files.",1,0,0,0,0,0,0,0,1,1,1
"This Week: Celebrity Desktop: Prince Harry, Red Hot Chili Peppers,	RioHeroes and more...",0,0,1,1,1,1,0,0,1,1,1
"Re: [opensuse] Use entire disk, and not a partition",0,0,0,0,0,0,0,0,1,1,0
Watches for all tastes at Replica Classics online store  ,0,0,0,0,0,0,0,0,1,1,0
[Ip-health] James Surowiecki: Too many stakeholders can be a deal-breaker.,0,0,0,0,0,0,0,0,1,1,0
The bigger tool,0,0,0,0,0,0,0,0,1,1,0
attaining a 20 sent mails per second,0,0,0,0,0,0,0,0,1,1,0
Jenna Jameson wants you as BFF,0,0,0,0,0,1,0,0,1,1,0
NBC11.com's 9am News Update,0,0,0,0,0,0,0,0,1,1,0
Change your sex life with PowerEnlarge! w gdrlii vuvo,0,0,0,0,0,0,0,0,1,1,0
Re: pyzor finally dead?,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] unscriptable?,0,1,0,0,0,0,1,0,1,1,1
"[ spambayes-Bugs-810344 ] On Mac OS X,	should use 'dbm' instead of gdbm or bsddb",1,0,0,0,0,0,1,0,1,1,1
From Gwendolyn Dalton,0,0,0,0,0,0,0,0,1,1,0
Replica Classics  if looking for magnificent watches,0,0,0,0,1,0,0,0,1,1,0
RE: [doap-interest] Doap NetBeans plugin,0,0,0,1,0,0,0,1,1,1,1
"[Spambayes-checkins] spambayes/spambayes storage.py,1.61,1.62",0,0,0,0,0,1,0,0,1,1,1
CNN Alerts: My Custom Alert,0,0,1,0,0,0,1,0,1,1,1
For: c633a7640c35e4b576aa5126f2c3fb75 Switzerland To Be Devoured By Black Hole,1,0,1,1,0,1,0,0,1,0,1
Extraordinary Pill Deals,0,0,0,0,0,0,0,0,1,1,0
debt consolidation services,0,0,0,0,0,0,1,0,1,1,1
Re: [SM-USERS] Autorespond plugin,1,1,1,0,1,1,1,1,0,1,1
BestQualityPharmInternetPrices,1,1,0,0,0,0,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
"Re: [opensuse] Use entire disk, and not a partition",0,1,0,0,0,1,1,0,1,1,1
Re: - Action needed,0,1,0,0,1,1,0,0,1,1,1
svn commit: r586008 - /spamassassin/branches/3.2/lib/Mail/SpamAssassin/Plugin/VBounce.pm,0,0,0,1,0,1,0,1,1,1,1
Re: [opensuse] SUSE 10.3 + ATI FireGL 5250 + Latest ATI driver = no 3D efects,0,1,0,1,1,1,1,1,1,1,1
Breathe a new life into your love organ,1,0,1,0,0,0,1,1,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Re:,1,1,0,1,0,0,0,1,1,1,1
"Don?t doubt, miracles happen!",0,0,1,1,0,0,0,0,1,1,1
Best viagra is here,0,0,0,0,1,1,0,0,0,1,1
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,0
August playboy centrefold,0,0,0,0,0,0,0,0,1,1,0
[UAI] CFP: Rationality and Knowledge Workshop,0,0,0,0,1,0,0,0,1,1,1
"Hurry, time is running out!",0,0,1,1,0,0,0,0,1,1,1
ALL MAJOR DESIGNER REPLICA W ATCHES!   ,0,0,0,0,0,0,0,0,1,1,0
Join world`s best gambling house,0,0,0,0,0,1,0,0,1,1,1
Thursday,0,0,0,0,0,0,0,0,1,1,1
Re: [python-win32] Threads in COM not given time to execute?,0,1,0,0,1,0,1,0,1,1,1
Re: [Buildbot-devel] Licensing clarification,1,0,0,0,0,0,0,0,1,1,1
Bitpipe KnowledgeAlert,0,0,0,0,0,0,0,0,1,1,0
FW: Scholarships & Awards Advertised - 16 April 2008,1,0,1,1,0,1,1,0,1,1,1
[Slashdot] Stories for 2008-03-03,0,0,0,0,0,0,0,0,1,1,0
Re: [Python-Dev] No __bases__ in dir() - Please verify,0,0,1,1,1,0,1,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
[cw-discuss]  Making an MFC application run under Crossover,0,0,0,0,1,0,0,0,1,1,1
[Python-Dev] changing regrtest to handle import errors,0,0,0,1,1,0,0,0,1,1,0
Dont be left behind because of bad helth. - Important,0,0,0,0,0,0,0,0,1,1,1
CNN.com Daily Top 10,0,0,1,0,0,0,0,0,1,1,0
"[UAI] [Mlnet] Machine Learning - Pascal Challenges, April 11-13",0,0,0,0,0,0,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,0
Re: [python-win32] Problem in reading MS Outlook mails.,0,0,0,0,0,0,0,0,1,1,1
Re: [opensuse] Online update,0,0,0,0,1,0,0,0,1,1,1
Ravishing Bvlgari watches at Replica Classics    - Please verify,0,0,0,0,0,0,0,0,1,1,1
Stimulate all her secret spots!,1,1,0,1,0,0,0,0,1,1,1
Sports Briefing: Shawn Johnson's gymnastic roots run from Iowa to Beijing - Important,0,1,1,1,0,0,1,0,1,1,1
CNN Alerts: My Custom Alert,0,0,0,0,0,0,0,0,1,1,1
For men with low libidos,0,0,0,0,0,1,1,1,1,1,1
Great stylish gifts,0,1,0,1,0,0,1,1,1,1,1
Return your self-estteme with blue pilule.,0,0,0,1,0,0,0,0,1,1,0
What IT can learn from botnets,0,0,0,0,0,0,0,0,1,1,0
Re: [PATCH] FreeBSD atoll() warning (Was Re: Code freeze),0,0,1,0,0,0,1,1,1,1,1
Vi dient zur Behandlung bei E-problemen ..,0,1,0,0,1,0,0,0,1,1,1
Re: Strange headers on mail from SA users list,0,0,0,1,0,0,0,0,1,0,1
Re: [python-win32] Overlay Icon Question...,0,0,0,0,0,1,0,0,1,1,1
MBA Case Study,0,0,0,0,0,0,0,0,1,1,0
and show how deeply you love him. - Please verify,0,0,1,0,1,0,0,0,0,1,1
"""The Awfulness and Necessity of Cultural Studies""",0,0,0,0,0,1,0,0,1,1,1
Your ex-gf will be begging to come back to her,0,0,0,0,0,0,0,0,1,1,1
Extended courier service delivers everything you order at our chemists. - Please verify,0,1,0,0,0,0,1,0,1,1,1
Your MX Helped Catch A Harvester!,0,0,1,1,1,0,0,1,1,1,1
All will be as you wont,0,0,0,0,0,0,0,0,1,1,1
[Python-3000] svnmerge - three broken tests,0,0,0,0,0,0,0,0,1,1,1
From Kennith Dalton,0,0,0,1,0,0,0,0,1,1,0
Re: [Python-3000] u'text' as an alias for 'text'?,0,0,0,0,0,1,0,1,1,1,1
CNN.com Daily Top 10,0,0,0,1,0,0,0,0,1,1,0
TO:86743211c8ba821b30b288073281da77  Paris Hilton nude on the beach,0,0,0,0,0,0,0,0,1,1,0
jehovah suffice potatoes spin porphyry,0,0,0,0,1,1,0,0,1,1,1
Re: [opensuse] freespace calculation  bug or not,0,1,0,0,0,1,0,0,0,1,1
"Beautiful quartz, water-resistant Replica Watches - Important",0,0,0,0,0,1,0,0,1,1,0
[UAI] Multiple Simultaneous Hypothesis Testing --- Type I and Type II Errors --- Pascal NoE,0,0,0,0,0,1,0,0,1,1,1
Superdelegates?,1,0,0,0,0,0,0,0,1,1,0
[perl #46217] (resent) Typeglobs vs. SUPER:: (Hook::LexWrap failure) ,0,0,1,1,0,0,0,0,1,0,0
Replica watches from Officine Panerai closest to original   ,1,0,0,0,0,0,0,0,1,1,0
"Re: [Python-Dev] [Distutils] how to easily consume just the parts	of eggs that are good for you",0,0,0,1,0,0,0,0,1,1,1
CNN.com Daily Top 10,0,0,0,0,0,0,0,0,1,1,1
Your insatiable chick will be full of pleasure rpykhg k cdr,0,0,0,0,0,0,0,0,1,1,0
EmedsOrderNowFastShipping,1,0,1,1,0,0,0,1,1,1,1
Stylish products for your success,1,0,0,0,1,0,0,1,1,0,1
Your new proportion will keep her satisfied,0,0,0,1,0,0,1,0,1,1,1
save 90% on watches! visit replica store - Urgent,0,0,0,0,0,0,0,0,1,1,1
Re: Re[ydn-delicious] name/Delete Tag Function Not Working,1,0,0,0,1,0,1,0,1,1,1
